Protein	EC number
P04664	non Enzyme
P12590	non Enzyme
P03460	non Enzyme
Q01218	non Enzyme
P10192	non Enzyme
Q9W568	non Enzyme
O87296	non Enzyme
Q0V8S0	non Enzyme
Q9D1G3	non Enzyme
Q90850	non Enzyme
Q0E908	non Enzyme
Q9SJL2	non Enzyme
P02910	non Enzyme
Q22909	non Enzyme
Q93352	non Enzyme
P18466	non Enzyme
P15979	non Enzyme
Q12753	non Enzyme
P24488	non Enzyme
P06639	non Enzyme
Q09146	non Enzyme
P14392	non Enzyme
Q9XYD3	non Enzyme
P53834	non Enzyme
Q03937	non Enzyme
Q9BXL5	non Enzyme
A0A0B4K753	non Enzyme
P02244	non Enzyme
Q84MN7	non Enzyme
Q9BW72	non Enzyme
P41934	non Enzyme
P46600	non Enzyme
P46601	non Enzyme
O42425	non Enzyme
P84791	non Enzyme
P09904	non Enzyme
P14389	non Enzyme
P56692	non Enzyme
P29625	non Enzyme
P68168	non Enzyme
P11293	non Enzyme
P80960	non Enzyme
Q9ZV65	non Enzyme
Q9W3M9	non Enzyme
Q8UW74	non Enzyme
Q9C5D3	non Enzyme
P47171	non Enzyme
Q9BW71	non Enzyme
P10072	non Enzyme
Q10007	non Enzyme
P83705	non Enzyme
Q96EW2	non Enzyme
P02132	non Enzyme
P02133	non Enzyme
P18983	non Enzyme
P02130	non Enzyme
P35843	non Enzyme
Q93VB5	non Enzyme
Q9SV12	non Enzyme
Q6PG16	non Enzyme
P15321	non Enzyme
P20271	non Enzyme
P34326	non Enzyme
Q05917	non Enzyme
Q09390	non Enzyme
Q43386	non Enzyme
A9D857	non Enzyme
P20050	non Enzyme
Q8VHD8	non Enzyme
Q99332	non Enzyme
Q969F9	non Enzyme
F4JFN3	non Enzyme
P87315	non Enzyme
Q9LXN4	non Enzyme
Q91766	non Enzyme
P0ACG4	non Enzyme
P06808	non Enzyme
P35332	non Enzyme
A4NBN9	non Enzyme
A2RIX0	non Enzyme
Q2FIN9	non Enzyme
Q9U1N0	non Enzyme
P01972	non Enzyme
Q93WI9	non Enzyme
Q3UGR5	non Enzyme
Q7A224	non Enzyme
Q9QYL0	non Enzyme
Q9LEH8	non Enzyme
Q9T0K9	non Enzyme
O49597	non Enzyme
P09602	non Enzyme
P05527	non Enzyme
P31264	non Enzyme
P43687	non Enzyme
Q9UK76	non Enzyme
