Protein UniProt Acc.	EC Number
P32773	non Enzyme
Q2XPP5	non Enzyme
P33204	non Enzyme
Q9T6H8	non Enzyme
Q15760	non Enzyme
Q9W352	non Enzyme
P17219	non Enzyme
Q78XR0	non Enzyme
Q9NUQ8	non Enzyme
Q9CAZ7	non Enzyme
Q6ZJM9	non Enzyme
C4YKT4	non Enzyme
Q5QIT3	non Enzyme
Q9V8Y9	non Enzyme
Q9LDZ0	non Enzyme
Q99619	non Enzyme
P0C2H8	non Enzyme
A7SLZ2	non Enzyme
P21828	non Enzyme
P18356	non Enzyme
P32610	non Enzyme
P50239	non Enzyme
Q9M047	non Enzyme
O43692	non Enzyme
Q9CAT6	non Enzyme
Q9LPZ1	non Enzyme
Q8H7Y6	non Enzyme
Q9SCW4	non Enzyme
Q9LV04	non Enzyme
Q9P7R8	non Enzyme
P83312	non Enzyme
Q9VAC8	non Enzyme
P34015	non Enzyme
Q9M0S4	non Enzyme
O30641	non Enzyme
P35572	non Enzyme
Q66JX5	non Enzyme
Q9W3I5	non Enzyme
P0C918	non Enzyme
P42171	non Enzyme
P29384	non Enzyme
P34511	non Enzyme
Q8IWF6	non Enzyme
Q6NLH0	non Enzyme
Q09121	non Enzyme
P36094	non Enzyme
Q6DRB1	non Enzyme
P53849	non Enzyme
Q21642	non Enzyme
Q0GY40	non Enzyme
Q02985	non Enzyme
Q8LGA1	non Enzyme
Q8BXL7	non Enzyme
P42950	non Enzyme
Q12442	non Enzyme
P12285	non Enzyme
P55796	non Enzyme
Q08683	non Enzyme
P20460	non Enzyme
Q15928	non Enzyme
Q8VZ91	non Enzyme
Q07911	non Enzyme
P0C1M8	non Enzyme
C0Z361	non Enzyme
O57686	non Enzyme
P14944	non Enzyme
Q9USP9	non Enzyme
Q10021	non Enzyme
Q05785	non Enzyme
Q63191	non Enzyme
O43610	non Enzyme
Q7YT39	non Enzyme
Q5F881	non Enzyme
P53035	non Enzyme
Q9DF50	non Enzyme
Q9N337	non Enzyme
P12374	non Enzyme
P04509	non Enzyme
Q9NWS9	non Enzyme
O64668	non Enzyme
Q12988	non Enzyme
P40532	non Enzyme
Q10PR4	non Enzyme
Q9PU53	non Enzyme
P18474	non Enzyme
C4R5T1	non Enzyme
