Protein UniProt Acc.	EC Number
Q65GK1	2.5.1.61
P16616	2.5.1.61
Q1LU25	2.5.1.61
Q7VRM4	2.5.1.61
Q491Z6	2.5.1.61
Q7WKM1	2.5.1.61
Q7W785	2.5.1.61
A9IKF3	2.5.1.61
Q2KIN5	2.5.1.61
B2S842	2.5.1.61
C0RFD1	2.5.1.61
B0CID9	2.5.1.61
B8D8B0	2.5.1.61
B4E8C4	2.5.1.61
Q62LC0	2.5.1.61
A4XK06	2.5.1.61
A0RNT3	2.5.1.61
Q8KCJ4	2.5.1.61
A7FSG8	2.5.1.61
P87214	4.2.1.75
Q0VTD7	1.3.3.3
Q89SC2	1.3.3.3
Q57BW7	1.3.3.3
C0REI6	1.3.3.3
P63851	1.3.3.3
B1JW43	1.3.3.3
Q0BD83	1.3.3.3
A3MI45	1.3.3.3
A1V2G0	1.3.3.3
B0T8D1	1.3.3.3
Q1QTJ9	1.3.3.3
A7MKX5	1.3.3.3
A9KC01	1.3.3.3
A7ZPN6	1.3.3.3
B7MHT7	1.3.3.3
B7NPX2	1.3.3.3
B5YZY1	1.3.3.3
C4ZX09	1.3.3.3
Q2A3H9	1.3.3.3
A0Q6H6	1.3.3.3
A4IY09	1.3.3.3
Q42840	1.3.3.3
B5XVR1	1.3.3.3
Q5ZW72	1.3.3.3
Q1H4H0	1.3.3.3
P36552	1.3.3.3
Q7N6Z9	1.3.3.3
B7V0Q9	1.3.3.3
Q1MDJ5	1.3.3.3
C3PM25	1.3.3.3
Q1RGQ3	1.3.3.3
Q9ZC86	1.3.3.3
A8GU63	1.3.3.3
B5F0I0	1.3.3.3
B5R4G0	1.3.3.3
Q5PI28	1.3.3.3
B5BB50	1.3.3.3
Q8Z4U8	1.3.3.3
B8E3K7	1.3.3.3
A5F4C4	1.3.3.3
C3LPC8	1.3.3.3
Q8DDD5	1.3.3.3
Q8PF76	1.3.3.3
Q8P3Q0	1.3.3.3
Q9PHC7	1.3.3.3
A7FG82	1.3.3.3
B2K962	1.3.3.3
A4TMK2	1.3.3.3
P0C0V9	3.1.1.53
P33468	3.1.1.53
Q66165	3.1.1.53
P31613	3.1.1.53
P15776	3.1.1.53
Q14EB1	3.1.1.53
P30215	3.1.1.53
Q8JSP9	3.1.1.53
P03465	3.1.1.53
P17003	3.1.1.53
P07975	3.1.1.53
Q67387	3.1.1.53
P87691	3.1.1.53
Q63ES4	4.99.1.1
O04921	4.99.1.1
A3N3M9	4.99.1.1
A0KL51	4.99.1.1
B6EHK1	4.99.1.1
O67083	4.99.1.1
Q7W515	4.99.1.1
C0RK28	4.99.1.1
A9WXE2	4.99.1.1
Q0BI24	4.99.1.1
Q607T4	4.99.1.1
B0JRN7	4.99.1.1
B1MC29	4.99.1.1
A0QHT7	4.99.1.1
A0PNU6	4.99.1.1
B1ZSW3	4.99.1.1
P57874	4.99.1.1
B2SXB8	4.99.1.1
Q6LTE0	4.99.1.1
B2RHB4	4.99.1.1
A8G3P0	4.99.1.1
A9BEE9	4.99.1.1
Q31C09	4.99.1.1
B4F1Q1	4.99.1.1
Q48MT5	4.99.1.1
B7V0K1	4.99.1.1
Q3K6Y7	4.99.1.1
Q88PV4	4.99.1.1
A5WH56	4.99.1.1
B3PZU8	4.99.1.1
Q98H61	4.99.1.1
Q7UFZ7	4.99.1.1
Q2IRD5	4.99.1.1
Q6NBF3	4.99.1.1
A8F0B2	4.99.1.1
Q4UJN9	4.99.1.1
Q68VM9	4.99.1.1
Q57S74	4.99.1.1
B5QU78	4.99.1.1
P74132	1.3.98.3
O31067	1.3.98.3
Q51887	2.1.1.107
Q9ZVW2	3.6.4.13
Q4R3W5	2.1.1.n8
Q05819	4.2.2.7
C7EXL6	4.2.2.8
Q8U1P0	3.6.4.12
Q9VR91	2.3.2.26
O95714	2.3.2.26
F2Z461	2.3.2.-
Q9AH77	3.4.21.-
Q51320	3.4.21.-
D4AUH6	3.2.1.52
E9DFH0	3.2.1.52
P13723	3.2.1.52
Q619W7	3.2.1.52
Q0V8R6	3.2.1.52
P06865	3.2.1.52
O66129	2.5.1.83
B3EWR5	3.2.1.52
A7WM73	3.2.1.52
P51979	3.6.4.12
Q89XH1	1.13.11.5
B1JWJ3	1.13.11.5
Q3JPA3	1.13.11.5
A4JBW6	1.13.11.5
Q46UA4	1.13.11.5
Q9VKJ0	1.13.11.5
Q1QPR8	1.13.11.5
Q5VRH4	1.13.11.5
A5W8Z1	1.13.11.5
Q983J4	1.13.11.5
Q9X4F5	1.13.11.5
Q2J1P2	1.13.11.5
Q21AX5	1.13.11.5
C3M930	1.13.11.5
